CmpdID,neuSmi,y_true
12595,O=[N+]([O-])c1ccc(F)c(Cl)c1,4
9015,Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)c(F)c2)o1,4
1518,CC(C)NC(=O)NS(=O)(=O)c1ccc(OCCN2CCCCC2)cc1,4.58
11239,O=C(NC1CC1)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,4.96
9740,Cn1cnc(C(=O)N(Cc2cccc(Cl)c2)C2CCC(N)CC2)c1,4.18
10428,NC1(Cc2nc(-c3ccc(OC(F)(F)F)cc3)c[nH]2)COC1,4.925
125,C1CCN(CN2CCCCC2)CC1,4
5522,CN1CCN(c2ccc3nc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7ncccn7)[nH]6)CC5)cc4)nc3n2)CC1,5.08
1720,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,4.656485109
9386,Cc1onc(C(=O)N2C3CCC2CC(Nc2cc(=O)n(C)c4cc(F)c(F)cc24)C3)c1C,4.8
1421,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,6.190778796
9117,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,4
5059,CN(C)CCCCc1ccc(C2(C)COC2)cc1,4.46
11599,O=C(O)C(O)C(O)C(O)C(O)CO,4
7706,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,4
167,C=C(C)C(=O)OCCCCCC,4
1704,CC(C)n1nc(C(=O)NCC2CCN(CCc3ccc(N)cc3)CC2)c2ccccc21,4.65
3470,CCCCCCCCc1ccc(O)cc1,4.514998362
1165,CC(C)(O)C(Cl)(Cl)Cl,4
11008,O=C(C=Cc1ccccc1)OCC=Cc1ccccc1,4.660050319
8905,Cc1cnc(C)c(C)n1,4
8929,Cc1cnc(Nc2ccnn2C)nc1-c1cn2c(n1)C(=O)N(Cc1ccc(F)c(F)c1)CC2,4.64
9415,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,4.508141135
9401,ClC(Cl)=C(Cl)Cl,4
12272,O=C1OC2(CCC(c3nc4cc(OC(F)(F)F)ccc4[nH]3)CC2)CN1c1cccc(F)n1,5.4
2578,CC1OCC2(CCN(c3nc4[nH]nc(-c5ccnc(NC6CC6)c5Cl)c4c(=O)n3C)CC2)C1N,4.77
9442,ClCCOCOCCCl,4
8899,Cc1cnc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cccs4)n2C)CC3)o1,6.5
10420,NC1(C(=O)NC(CCCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,4.24
8715,Cc1cccc(C)c1N,4
8827,Cc1ccccc1N,4
