CmpdID,neuSmi,y_true
3675,CCc1nn2c(C)cc(C)nc2c1Cc1ccc(CCCC2(O)CCNCC2)cc1,4.62
3455,Cc1c([C@@H](O)CN2CCC3(CC2)CCN(c2cnn(C)c(=O)c2)C3=O)ccc2c1COC2=O,4.92
12477,c1ccc(Nc2ccc3ccccc3c2)cc1,4
10067,CCC(=O)C=CC1C(C)=CCCC1(C)C,4
9281,CC(C)c1ccc2cc(C(C)C)ccc2c1,4
9992,CC1=NN(c2cccc(S(=O)(=O)O)c2)C(=O)C1,4
10941,CCO[Si](C)(OCC)OCC,4
10064,C=CC(=O)CC,4
6809,COc1cc(F)ccc1-c1cnc2sc(N3CCC(O)(CN)CC3)nn12,4.73
7631,C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,4.387179868
10819,CCCOCC(C)OCC(C)O,4
8269,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)O)ccc2S(=O)(=O)O)cc1,4
13679,CCN[C@@H]1C[C@H](N)[C@@H](OC2OC(CN)=CCC2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,4
8650,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,4
3718,CN1CCN(CCN2CCN(c3cccc(Cl)c3)C2=O)CC1,5.4
7841,CCOP(=S)(CC)Sc1ccccc1,4.361913198
12363,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,4
9399,CC(C)OC(=O)CCC(=O)OC(C)C,4
1675,CN(C)c1ncc(/C=C/c2c(F)cccc2F)cn1,4.39
5844,O=C1c2ccccc2C(Cc2c(F)cncc2F)(Cc2c(F)cncc2F)c2ccccc21,4.92
195,c1ccc(CCCNCCN(c2ccccc2)c2ccccc2)cc1,6.22
9317,CC(=O)CCC(C)C,4
